doc_id,publish_time,entry_trade_date,exit_trade_date,forward_open_return,direction_label,horizon_days,future_info_ok,aux_exit_trade_date_10d,aux_forward_open_return_10d,aux_direction_label_10d
LC-TEXT-0001,2023-08-15,2023-08-16,2023-08-23,0.02216494845360817,bullish,5,True,2023-08-30,-0.03041237113402062,bearish
LC-TEXT-0002,2023-09-15,2023-09-18,2023-09-25,-0.07964601769911506,bearish,5,True,2023-10-10,-0.09970501474926252,bearish
LC-TEXT-0003,2023-10-18,2023-10-19,2023-10-26,-0.08740515933232174,bearish,5,True,2023-11-02,-0.06828528072837636,bearish
LC-TEXT-0004,2023-11-15,2023-11-16,2023-11-23,-0.12701754385964914,bearish,5,True,2023-11-30,-0.22807017543859653,bearish
LC-TEXT-0008,2024-05-15,2024-05-16,2024-05-23,0.015414258188824581,bullish,5,True,2024-05-30,0.021194605009633882,bullish
LC-TEXT-0009,2024-08-16,2024-08-19,2024-08-26,0.008861622358554921,neutral,5,True,2024-09-02,0.06680299931833678,bullish
LC-TEXT-0011,2024-12-24,2024-12-25,2025-01-02,-0.011282051282051286,bearish,5,True,2025-01-09,-0.007692307692307665,neutral
LC-TEXT-0013,2025-01-14,2025-01-15,2025-01-22,-0.004563894523326617,neutral,5,True,2025-02-06,-0.00963488843813387,neutral
LC-TEXT-0014,2025-01-16,2025-01-17,2025-01-24,-0.012173913043478257,bearish,5,True,2025-02-10,-0.03602484472049694,bearish
LC-TEXT-0016,2025-01-23,2025-01-24,2025-02-10,-0.024144869215291798,bearish,5,True,2025-02-17,-0.03672032193158958,bearish
LC-TEXT-0025,2025-12-11,2025-12-12,2025-12-19,0.0661173633440515,bullish,5,True,2025-12-26,0.24819131832797425,bullish
LC-TEXT-0028,2026-01-12,2026-01-13,2026-01-20,-0.11011904761904767,bearish,5,True,2026-01-27,-0.007738095238095211,neutral
LC-TEXT-0033,2026-01-30,2026-02-02,2026-02-09,-0.044520547945205435,bearish,5,True,2026-02-24,0.09589041095890405,bullish
LC-TEXT-0034,2026-02-04,2026-02-05,2026-02-12,0.028806584362139898,bullish,5,True,2026-02-27,0.18655692729766793,bullish
LC-TEXT-0042,2026-04-01,2026-04-02,2026-04-10,-0.03240448871516832,bearish,5,True,2026-04-17,0.08435254066322018,bullish
LC-TEXT-0052,2026-05-18,2026-05-19,2026-05-26,-0.04702063043250604,bearish,5,True,2026-06-02,-0.06272908157922297,bearish
LC-TEXT-0054,2026-06-01,2026-06-02,2026-06-09,-0.08603351955307259,bearish,5,True,2026-06-16,-0.029050279329608908,bearish
LC-TEXT-0061,2026-06-24,2026-06-25,2026-07-02,0.02187500000000009,bullish,5,True,2026-07-09,-0.0024999999999999467,neutral
LC-TEXT-0005,2023-12-15,2023-12-18,2023-12-25,-0.03550863723608444,bearish,5,True,2024-01-02,0.03358925143953928,bullish
GFEX-WR-20231222,2023-12-22,2023-12-25,2024-01-02,0.07164179104477619,bullish,5,True,2024-01-09,-0.03482587064676612,bearish
GFEX-WR-20231229,2023-12-29,2024-01-02,2024-01-09,-0.09935004642525536,bearish,5,True,2024-01-16,-0.05292479108635095,bearish
GFEX-WR-20240105,2024-01-05,2024-01-08,2024-01-15,0.04081632653061229,bullish,5,True,2024-01-22,0.02857142857142847,bullish
GFEX-WR-20240112,2024-01-12,2024-01-15,2024-01-22,-0.0117647058823529,bearish,5,True,2024-01-29,-0.006862745098039191,neutral
GFEX-WR-20240207,2024-02-07,2024-02-08,2024-02-23,0.00563524590163933,neutral,5,True,2024-03-01,0.22131147540983598,bullish
LC-TEXT-0006,2024-02-20,2024-02-21,2024-02-28,0.16289104638619212,bullish,5,True,2024-03-06,0.19525350593311752,bullish
GFEX-WR-20240306,2024-03-06,2024-03-07,2024-03-14,0.03913043478260869,bullish,5,True,2024-03-21,0.026086956521739202,bullish
