doc_id,source_type,title,content,publish_time,source_name,url
S001,policy,五部门关于开展2024年新能源汽车下乡活动的通知_国务院部门文件_中国政府网,原文摘要：为贯彻落实党中央、国务院相关决策部署，加快补齐农村地区新能源汽车消费使用短板，提升居民绿色安全出行水平，赋能美丽乡村建设和乡村振兴，工业和信息化部、国家发展改革委、农业农村部、商务部、国家能源局联合组织开展2024年新能源汽车下乡活动。 来源为中国政府网，首次公开日期核验为2024-05-15。项目关联：本条样本仅用于 AlphaLens 的政策事件与主营链条相关性研究，不包含收益判断或股价方向判断。,2024-05-15,中国政府网,https://www.gov.cn/zhengce/zhengceku/202405/content_6951174.htm
S002,policy,商务部 财政部等7部门关于印发《汽车以旧换新补贴实施细则》的通知_国务院部门文件_中国政府网,原文摘要：为贯彻落实《国务院关于印发〈推动大规模设备更新和消费品以旧换新行动方案〉的通知》（国发〔2024〕7号）精神，按照《商务部等14部门关于印发〈推动消费品以旧换新行动方案〉的通知》（商消费发〔2024〕58号）要求，更好实施汽车以旧换新补贴政策，现将《汽车以旧换新补贴实施细则》印发给你们，请贯彻执行。 来源为中国政府网，首次公开日期核验为2024-04-24。项目关联：本条样本仅用于 AlphaLens 的政策事件与主营链条相关性研究，不包含收益判断或股价方向判断。,2024-04-24,中国政府网,https://www.gov.cn/zhengce/zhengceku/202404/content_6947864.htm
S003,policy,国务院关于印发《推动大规模设备更新和消费品以旧换新行动方案》的通知_机械制造与重工业_中国政府网,原文摘要：现将《推动大规模设备更新和消费品以旧换新行动方案》印发给你们，请认真贯彻执行。 来源为中国政府网，首次公开日期核验为2024-03-07。项目关联：本条样本仅用于 AlphaLens 的政策事件与主营链条相关性研究，不包含收益判断或股价方向判断。,2024-03-07,中国政府网,https://www.gov.cn/zhengce/content/202403/content_6939232.htm
S004,policy,国务院关于印发《2024—2025年节能降碳行动方案》的通知_节能与资源综合利用_中国政府网,原文摘要：现将《2024—2025年节能降碳行动方案》印发给你们，请认真贯彻执行。 来源为中国政府网，首次公开日期核验为2024-05-23。项目关联：本条样本仅用于 AlphaLens 的政策事件与主营链条相关性研究，不包含收益判断或股价方向判断。,2024-05-23,中国政府网,https://www.gov.cn/zhengce/content/202405/content_6954322.htm
S005,policy,国家能源局关于做好新能源消纳工作 保障新能源高质量发展的通知_国务院部门文件_中国政府网,原文摘要：做好新形势下新能源消纳工作，是规划建设新型能源体系、构建新型电力系统的重要内容，对提升非化石能源消费比重、推动实现“双碳”目标具有重要意义。为深入贯彻落实习近平总书记在中共中央政治局第十二次集体学习时的重要讲话精神，提升电力系统对新能源的消纳能力，确保新能源大规模发展的同时保持合理利用水平，推动新能源高质量发展，现就有关事项通知如下。 来源为中国政府网，首次公开日期核验为2024-05-28。项目关联：本条样本仅用于 AlphaLens 的政策事件与主营链条相关性研究，不包含收益判断或股价方向判断。,2024-05-28,中国政府网,https://www.gov.cn/zhengce/zhengceku/202406/content_6956401.htm
S006,announcement,关于2025年第四季度计提资产减值准备的公告,原文摘要：隆基绿能于2026-04-29在巨潮资讯网披露《关于2025年第四季度计提资产减值准备的公告》。股票代码:601012 股票简称:隆基绿能 公告编号:临 2026-011 号 债券代码:113053 债券简称:隆 22 转债 债券代码:244101 债券简称:GK 隆基 01 债券代码:244386 债券简称:GK 隆基 02 隆基绿能科技股份有限公司 关于 2025 年第四季度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 隆基绿能科技股份有限公司（以下简称“公司”）第六届董事会 2025 年年度 会议审议通过了《关于 2025 年第四季度计提资产减值准备的议案》，具体情况如 下： 一、本次计提减值准备情况概述 为客观项目关联：隆基绿能属于新能源股票池的光伏板块；仅在原文事实明确支持时抽取事件，不包含收益判断或股价方向判断。,2026-04-29,巨潮资讯网,http://static.cninfo.com.cn/finalpage/2026-04-29/1225251626.PDF
S007,announcement,通威股份有限公司关于2026年第一季度计提资产减值准备及资产报废的公告,原文摘要：通威股份于2026-04-30在巨潮资讯网披露《通威股份有限公司关于2026年第一季度计提资产减值准备及资产报废的公告》。股票代码：600438 股票简称：通威股份 公告编号：2026-033 债券代码：110085 债券代码：通22转债 通威股份有限公司 关于2026年第一季度计提资产减值准备及资产报废的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大 遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 根据《企业会计准则》及公司有关会计政策的规定，基于审慎性原则，为了更加 真实、准确地反映公司财务状况和经营成果，2026年第一季度通威股份有限公司（以 下简称“公司”）及下属子公司在各资产负债表日，对存在减值迹象的存货、应收账 款等计提减值准备，并对无利用价值的资产进行了报废，详情如下： 一、计提减值准备事项的具体项目关联：通威股份属于新能源股票池的光伏板块；仅在原文事实明确支持时抽取事件，不包含收益判断或股价方向判断。,2026-04-30,巨潮资讯网,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259171.PDF
S008,announcement,关于对外投资购买股权并增资的公告,原文摘要：TCL中环于2026-03-31在巨潮资讯网披露《关于对外投资购买股权并增资的公告》。TCL 中环新能源科技股份有限公司 关于对外投资购买股权并增资的公告 本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有 虚假记载、误导性陈述或重大遗漏。 特别提示： 1、TCL 中环新能源科技股份有限公司（以下简称“公司”或“TCL 中环”）拟以现金 2.58 亿元受让衢州智道企业管理合伙企业（有限合伙）、苏州市善时股权投资合伙企业（有限 合伙）等 50 名股东合计持有的一道新能源科技股份有限公司 （以下简称“一道新能源”或“标 的公司”）8.06%股份（增资前）。同时，公司拟以现金 10.00 亿元对一道新能源进行增资 并获得一道新能源增资后 55.56%股份。本次股份转让及增资交割完成后，公司将以 12.58 亿元项目关联：TCL中环属于新能源股票池的光伏板块；仅在原文事实明确支持时抽取事件，不包含收益判断或股价方向判断。,2026-03-31,巨潮资讯网,http://static.cninfo.com.cn/finalpage/2026-03-31/1225062720.PDF
S009,announcement,关于2025年度计提资产减值准备的公告,原文摘要：晶澳科技于2026-04-29在巨潮资讯网披露《关于2025年度计提资产减值准备的公告》。债券代码：127089 债券简称：晶澳转债 晶澳太阳能科技股份有限公司 关于 2025 年度计提资产减值准备的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或重大遗漏。 晶澳太阳能科技股份有限公司（以下简称“公司”）于 2026 年 4 月 28 日召 开第七届董事会第二次会议，审议通过了《关于 2025 年度计提资产减值准备的 议案》，现将相关情况公告如下： 一、本次计提资产减值准备情况概述 1、本次计提资产减值准备的原因 根据《企业会计准则》及公司会计政策等相关规定，为更加真实、准确反映 截至 2025 年 12 月 31 日的财务状况、资产价值及经营成果，公司对各类资产进 行了全面检项目关联：晶澳科技属于新能源股票池的光伏板块；仅在原文事实明确支持时抽取事件，不包含收益判断或股价方向判断。,2026-04-29,巨潮资讯网,http://static.cninfo.com.cn/finalpage/2026-04-29/1225249480.PDF
S010,announcement,天合光能股份有限公司关于2025年第四季度计提资产减值准备的公告,原文摘要：天合光能于2026-04-30在巨潮资讯网披露《天合光能股份有限公司关于2025年第四季度计提资产减值准备的公告》。转债代码：118031 转债简称：天 23 转债 天合光能股份有限公司 关于 2025 年第四季度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。 一、计提减值准备的情况概述 根据《企业会计准则》和公司会计政策的相关规定，为客观、公允地反映天 合光能股份有限公司（以下简称“公司”）2025 年 12 月 31 日的财务状况和 2025 年第四季度的经营成果，公司及下属子公司对截至 2025 年 12 月 31 日合并范围 内可能发生减值损失的信用及资产进行了充分的评估和分析，本着谨慎性原则， 公司对相关信用及资产进行了减值测项目关联：天合光能属于新能源股票池的光伏板块；仅在原文事实明确支持时抽取事件，不包含收益判断或股价方向判断。,2026-04-30,巨潮资讯网,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263708.PDF
