trade_date,signal_date,split,strategy,position,market_open_return,turnover,cost_bps,net_return,nav,baseline_position,active_text_score,position_delta,text_confirmed,realized_volatility
2024-01-17,2024-01-16,discovery,mature_market_baseline,-0.42390540739062355,-0.024785510009532885,0.42390540739062355,5.0,0.010294759014280104,1.0102947590142801,-0.42390540739062355,0.0,0.0,False,0.25
2024-01-17,2024-01-16,discovery,v6_quality_text_alpha,-0.42390540739062355,-0.024785510009532885,0.42390540739062355,5.0,0.010294759014280104,1.0102947590142801,-0.42390540739062355,0.0,0.0,False,0.25
2024-01-18,2024-01-17,discovery,mature_market_baseline,-0.5040555638023809,0.004887585532746819,0.08015015641175738,5.0,-0.0025036897595469365,1.0077652943720121,-0.5040555638023809,0.0,0.0,False,0.25
2024-01-18,2024-01-17,discovery,v6_quality_text_alpha,-0.5040555638023809,0.004887585532746819,0.08015015641175738,5.0,-0.0025036897595469365,1.0077652943720121,-0.5040555638023809,0.0,0.0,False,0.25
2024-01-19,2024-01-18,discovery,mature_market_baseline,-0.41344815911636434,-0.01945525291828798,0.09060740468601658,5.0,0.007998434801866431,1.0158258393746304,-0.41344815911636434,0.0,0.0,False,0.25
2024-01-19,2024-01-18,discovery,v6_quality_text_alpha,-0.41344815911636434,-0.01945525291828798,0.09060740468601658,5.0,0.007998434801866431,1.0158258393746304,-0.41344815911636434,0.0,0.0,False,0.25
2024-01-22,2024-01-19,discovery,mature_market_baseline,-0.3042114319263565,0.0004960317460318553,0.10923672719000782,5.0,-0.00020551689133628542,1.015617070005983,-0.3042114319263565,0.0,0.0,False,0.25
2024-01-22,2024-01-19,discovery,v6_quality_text_alpha,-0.3042114319263565,0.0004960317460318553,0.10923672719000782,5.0,-0.00020551689133628542,1.015617070005983,-0.3042114319263565,0.0,0.0,False,0.25
2024-01-23,2024-01-22,discovery,mature_market_baseline,-0.5426321605763428,0.01636093207734257,0.23842072864998626,5.0,-0.008997178286496186,1.0064793821563303,-0.5426321605763428,0.0,0.0,False,0.25
2024-01-23,2024-01-22,discovery,v6_quality_text_alpha,-0.5426321605763428,0.01636093207734257,0.23842072864998626,5.0,-0.008997178286496186,1.0064793821563303,-0.5426321605763428,0.0,0.0,False,0.25
2024-01-24,2024-01-23,discovery,mature_market_baseline,-0.5365311492771628,0.004878048780487809,0.006101011299179948,5.0,-0.0026202756240747767,1.0038421287651322,-0.5365311492771628,0.0,0.0,False,0.25
2024-01-24,2024-01-23,discovery,v6_quality_text_alpha,-0.5365311492771628,0.004878048780487809,0.006101011299179948,5.0,-0.0026202756240747767,1.0038421287651322,-0.5365311492771628,0.0,0.0,False,0.25
2024-01-25,2024-01-24,discovery,mature_market_baseline,-0.7009653409611343,-0.014563106796116498,0.16443419168397144,5.0,0.010126016024951227,1.0140070502475291,-0.7009653409611343,0.0,0.0,False,0.25
2024-01-25,2024-01-24,discovery,v6_quality_text_alpha,-0.7009653409611343,-0.014563106796116498,0.16443419168397144,5.0,0.010126016024951227,1.0140070502475291,-0.7009653409611343,0.0,0.0,False,0.25
2024-01-26,2024-01-25,discovery,mature_market_baseline,-0.6879527952833893,-0.0019704433497537144,0.013012545677745013,5.0,0.0013490657375717604,1.0153750124166743,-0.6879527952833893,0.0,0.0,False,0.25
2024-01-26,2024-01-25,discovery,v6_quality_text_alpha,-0.6879527952833893,-0.0019704433497537144,0.013012545677745013,5.0,0.0013490657375717604,1.0153750124166743,-0.6879527952833893,0.0,0.0,False,0.25
