sample_id,predicate_name,human_value,human_evidence_text,reviewer,reviewed_at,notes
HR-001,policy_stance_eases,,,,,
HR-001,policy_stance_tightens,,,,,
HR-001,liquidity_supply_increases,,,,,
HR-001,liquidity_supply_decreases,,,,,
HR-001,funding_conditions_tighten,,,,,
HR-001,funding_conditions_ease,,,,,
HR-001,growth_outlook_strengthens,,,,,
HR-001,growth_outlook_weakens,,,,,
HR-001,inflation_pressure_rises,,,,,
HR-001,inflation_pressure_falls,,,,,
HR-001,government_bond_supply_rises,,,,,
HR-001,government_bond_supply_falls,,,,,
HR-001,risk_aversion_rises,,,,,
HR-001,risk_aversion_falls,,,,,
HR-002,policy_stance_eases,,,,,
HR-002,policy_stance_tightens,,,,,
HR-002,liquidity_supply_increases,,,,,
HR-002,liquidity_supply_decreases,,,,,
HR-002,funding_conditions_tighten,,,,,
HR-002,funding_conditions_ease,,,,,
HR-002,growth_outlook_strengthens,,,,,
HR-002,growth_outlook_weakens,,,,,
HR-002,inflation_pressure_rises,,,,,
HR-002,inflation_pressure_falls,,,,,
HR-002,government_bond_supply_rises,,,,,
HR-002,government_bond_supply_falls,,,,,
HR-002,risk_aversion_rises,,,,,
HR-002,risk_aversion_falls,,,,,
HR-003,policy_stance_eases,,,,,
HR-003,policy_stance_tightens,,,,,
HR-003,liquidity_supply_increases,,,,,
HR-003,liquidity_supply_decreases,,,,,
HR-003,funding_conditions_tighten,,,,,
HR-003,funding_conditions_ease,,,,,
HR-003,growth_outlook_strengthens,,,,,
HR-003,growth_outlook_weakens,,,,,
HR-003,inflation_pressure_rises,,,,,
HR-003,inflation_pressure_falls,,,,,
HR-003,government_bond_supply_rises,,,,,
HR-003,government_bond_supply_falls,,,,,
HR-003,risk_aversion_rises,,,,,
HR-003,risk_aversion_falls,,,,,
HR-004,policy_stance_eases,,,,,
HR-004,policy_stance_tightens,,,,,
HR-004,liquidity_supply_increases,,,,,
HR-004,liquidity_supply_decreases,,,,,
HR-004,funding_conditions_tighten,,,,,
HR-004,funding_conditions_ease,,,,,
HR-004,growth_outlook_strengthens,,,,,
HR-004,growth_outlook_weakens,,,,,
HR-004,inflation_pressure_rises,,,,,
HR-004,inflation_pressure_falls,,,,,
HR-004,government_bond_supply_rises,,,,,
HR-004,government_bond_supply_falls,,,,,
HR-004,risk_aversion_rises,,,,,
HR-004,risk_aversion_falls,,,,,
HR-005,policy_stance_eases,,,,,
HR-005,policy_stance_tightens,,,,,
HR-005,liquidity_supply_increases,,,,,
HR-005,liquidity_supply_decreases,,,,,
HR-005,funding_conditions_tighten,,,,,
HR-005,funding_conditions_ease,,,,,
HR-005,growth_outlook_strengthens,,,,,
HR-005,growth_outlook_weakens,,,,,
HR-005,inflation_pressure_rises,,,,,
HR-005,inflation_pressure_falls,,,,,
HR-005,government_bond_supply_rises,,,,,
HR-005,government_bond_supply_falls,,,,,
HR-005,risk_aversion_rises,,,,,
HR-005,risk_aversion_falls,,,,,
HR-006,policy_stance_eases,,,,,
HR-006,policy_stance_tightens,,,,,
HR-006,liquidity_supply_increases,,,,,
HR-006,liquidity_supply_decreases,,,,,
HR-006,funding_conditions_tighten,,,,,
HR-006,funding_conditions_ease,,,,,
HR-006,growth_outlook_strengthens,,,,,
HR-006,growth_outlook_weakens,,,,,
HR-006,inflation_pressure_rises,,,,,
HR-006,inflation_pressure_falls,,,,,
HR-006,government_bond_supply_rises,,,,,
HR-006,government_bond_supply_falls,,,,,
HR-006,risk_aversion_rises,,,,,
HR-006,risk_aversion_falls,,,,,
HR-007,policy_stance_eases,,,,,
HR-007,policy_stance_tightens,,,,,
HR-007,liquidity_supply_increases,,,,,
HR-007,liquidity_supply_decreases,,,,,
HR-007,funding_conditions_tighten,,,,,
HR-007,funding_conditions_ease,,,,,
HR-007,growth_outlook_strengthens,,,,,
HR-007,growth_outlook_weakens,,,,,
HR-007,inflation_pressure_rises,,,,,
HR-007,inflation_pressure_falls,,,,,
HR-007,government_bond_supply_rises,,,,,
HR-007,government_bond_supply_falls,,,,,
HR-007,risk_aversion_rises,,,,,
HR-007,risk_aversion_falls,,,,,
HR-008,policy_stance_eases,,,,,
HR-008,policy_stance_tightens,,,,,
HR-008,liquidity_supply_increases,,,,,
HR-008,liquidity_supply_decreases,,,,,
HR-008,funding_conditions_tighten,,,,,
HR-008,funding_conditions_ease,,,,,
HR-008,growth_outlook_strengthens,,,,,
HR-008,growth_outlook_weakens,,,,,
HR-008,inflation_pressure_rises,,,,,
HR-008,inflation_pressure_falls,,,,,
HR-008,government_bond_supply_rises,,,,,
HR-008,government_bond_supply_falls,,,,,
HR-008,risk_aversion_rises,,,,,
HR-008,risk_aversion_falls,,,,,
HR-009,policy_stance_eases,,,,,
HR-009,policy_stance_tightens,,,,,
HR-009,liquidity_supply_increases,,,,,
HR-009,liquidity_supply_decreases,,,,,
HR-009,funding_conditions_tighten,,,,,
HR-009,funding_conditions_ease,,,,,
HR-009,growth_outlook_strengthens,,,,,
HR-009,growth_outlook_weakens,,,,,
HR-009,inflation_pressure_rises,,,,,
HR-009,inflation_pressure_falls,,,,,
HR-009,government_bond_supply_rises,,,,,
HR-009,government_bond_supply_falls,,,,,
HR-009,risk_aversion_rises,,,,,
HR-009,risk_aversion_falls,,,,,
HR-010,policy_stance_eases,,,,,
HR-010,policy_stance_tightens,,,,,
HR-010,liquidity_supply_increases,,,,,
HR-010,liquidity_supply_decreases,,,,,
HR-010,funding_conditions_tighten,,,,,
HR-010,funding_conditions_ease,,,,,
HR-010,growth_outlook_strengthens,,,,,
HR-010,growth_outlook_weakens,,,,,
HR-010,inflation_pressure_rises,,,,,
HR-010,inflation_pressure_falls,,,,,
HR-010,government_bond_supply_rises,,,,,
HR-010,government_bond_supply_falls,,,,,
HR-010,risk_aversion_rises,,,,,
HR-010,risk_aversion_falls,,,,,
HR-011,policy_stance_eases,,,,,
HR-011,policy_stance_tightens,,,,,
HR-011,liquidity_supply_increases,,,,,
HR-011,liquidity_supply_decreases,,,,,
HR-011,funding_conditions_tighten,,,,,
HR-011,funding_conditions_ease,,,,,
HR-011,growth_outlook_strengthens,,,,,
HR-011,growth_outlook_weakens,,,,,
HR-011,inflation_pressure_rises,,,,,
HR-011,inflation_pressure_falls,,,,,
HR-011,government_bond_supply_rises,,,,,
HR-011,government_bond_supply_falls,,,,,
HR-011,risk_aversion_rises,,,,,
HR-011,risk_aversion_falls,,,,,
HR-012,policy_stance_eases,,,,,
HR-012,policy_stance_tightens,,,,,
HR-012,liquidity_supply_increases,,,,,
HR-012,liquidity_supply_decreases,,,,,
HR-012,funding_conditions_tighten,,,,,
HR-012,funding_conditions_ease,,,,,
HR-012,growth_outlook_strengthens,,,,,
HR-012,growth_outlook_weakens,,,,,
HR-012,inflation_pressure_rises,,,,,
HR-012,inflation_pressure_falls,,,,,
HR-012,government_bond_supply_rises,,,,,
HR-012,government_bond_supply_falls,,,,,
HR-012,risk_aversion_rises,,,,,
HR-012,risk_aversion_falls,,,,,
HR-013,policy_stance_eases,,,,,
HR-013,policy_stance_tightens,,,,,
HR-013,liquidity_supply_increases,,,,,
HR-013,liquidity_supply_decreases,,,,,
HR-013,funding_conditions_tighten,,,,,
HR-013,funding_conditions_ease,,,,,
HR-013,growth_outlook_strengthens,,,,,
HR-013,growth_outlook_weakens,,,,,
HR-013,inflation_pressure_rises,,,,,
HR-013,inflation_pressure_falls,,,,,
HR-013,government_bond_supply_rises,,,,,
HR-013,government_bond_supply_falls,,,,,
HR-013,risk_aversion_rises,,,,,
HR-013,risk_aversion_falls,,,,,
HR-014,policy_stance_eases,,,,,
HR-014,policy_stance_tightens,,,,,
HR-014,liquidity_supply_increases,,,,,
HR-014,liquidity_supply_decreases,,,,,
HR-014,funding_conditions_tighten,,,,,
HR-014,funding_conditions_ease,,,,,
HR-014,growth_outlook_strengthens,,,,,
HR-014,growth_outlook_weakens,,,,,
HR-014,inflation_pressure_rises,,,,,
HR-014,inflation_pressure_falls,,,,,
HR-014,government_bond_supply_rises,,,,,
HR-014,government_bond_supply_falls,,,,,
HR-014,risk_aversion_rises,,,,,
HR-014,risk_aversion_falls,,,,,
HR-015,policy_stance_eases,,,,,
HR-015,policy_stance_tightens,,,,,
HR-015,liquidity_supply_increases,,,,,
HR-015,liquidity_supply_decreases,,,,,
HR-015,funding_conditions_tighten,,,,,
HR-015,funding_conditions_ease,,,,,
HR-015,growth_outlook_strengthens,,,,,
HR-015,growth_outlook_weakens,,,,,
HR-015,inflation_pressure_rises,,,,,
HR-015,inflation_pressure_falls,,,,,
HR-015,government_bond_supply_rises,,,,,
HR-015,government_bond_supply_falls,,,,,
HR-015,risk_aversion_rises,,,,,
HR-015,risk_aversion_falls,,,,,
HR-016,policy_stance_eases,,,,,
HR-016,policy_stance_tightens,,,,,
HR-016,liquidity_supply_increases,,,,,
HR-016,liquidity_supply_decreases,,,,,
HR-016,funding_conditions_tighten,,,,,
HR-016,funding_conditions_ease,,,,,
HR-016,growth_outlook_strengthens,,,,,
